,word,frequency
344,evaluation,1103
345,equivalent,1102
346,reason,1094
347,effect,1092
348,development,1091
349,case,1091
350,cause,1090
351,assessment,1086
352,plant,1078
353,operation,1075
354,denominator,1074
355,graphic,1072
356,n't,1070
357,focus,1066
358,several,1060
359,medical,1059
360,non,1059
361,mixed,1058
362,compound,1056
363,resources,1052
364,average,1044
365,central,1043
366,experience,1041
367,education,1039
368,full,1037
369,•,1031
370,comparison,1030
371,percentage,1028
372,result,1024
373,large,1024
374,verbal,1022
375,design,1018
376,matter,1016
377,solving,1016
378,game,1015
379,url=http,1014
380,m4,1004
381,context,998
382,pattern,998
383,wave,997
384,inequality,996
385,current,996
386,challenge,996
387,hand,992
388,child,989
389,interpret,987
390,heat,986
391,given,985
392,treatment,983
393,specific,979
394,run,978
395,atom,977
396,follow,971
397,ball,971
398,cycle,967
399,motion,965
400,g,963
401,music,962
402,t,953
403,size,952
404,algebraic,952
405,ratio,948
406,research,947
407,much,947
408,similar,945
409,sample,943
410,special,941
411,physical,940
412,exponent,940
413,introduce,935
414,”,931
415,dna,931
416,discuss,931
417,letter,928
418,own,925
419,approach,924
420,absolute,922
421,home,920
422,animal,920
423,talk,918
424,single,918
425,medicine,913
426,population,913
427,evaluate,912
428,blood,910
429,advanced,910
430,cover,908
431,day,906
432,recognize,904
433,scale,901
434,properties,899
435,keep,898
436,require,895
437,old,894
438,family,893
439,electron,889
440,m3,889
441,money,886
442,slope,882
443,y,882
444,units,876
445,“,875
446,environment,872
447,project,871
448,educational,868
449,foot,867
450,electric,867
451,disease,863
452,come,862
453,results,861
454,begin,859
455,pressure,855
456,perimeter,852
457,happen,851
458,theory,850
459,notation,849
460,integer,848
461,pair,847
462,scientific,847
463,key,846
464,sign,845
465,translation,845
466,control,843
467,gas,840
468,price,838
469,finding,837
470,ten,836
471,molecule,834
472,evidence,823
473,consider,820
474,unknown,820
475,convert,816
476,‘,811
477,constant,811
478,just,810
479,growth,810
480,short,809
481,down,809
482,express,805
483,useful,802
484,contain,798
485,posture,797
486,arithmetic,796
487,response,795
488,main,795
489,representation,793
490,comment,793
491,frequency,793
492,'re,791
493,muscle,791
494,put,791
495,ask,791
496,amount,789
497,face,788
498,diagnosis,785
499,paper,784
500,item,782
501,become,780
502,link,780
503,tangent,780
504,increase,778
505,segment,778
506,able,777
507,characteristic,777
508,aid,774
509,detail,773
510,identity,769
511,mathematical,769
512,>,769
513,period,767
514,adding,765
515,possible,764
516,m1,763
517,together,761
518,final.pdf,761
519,training,761
520,flow,761
521,double,760
522,community,758
523,choose,757
524,interest,757
525,even,756
526,random,755
527,cross,755
528,sentence,754
529,map,751
530,share,749
531,quiz,749
532,biology,748
533,potential,744
534,live,743
535,center,741
536,nature,739
537,affect,737
538,market,735
539,perform,735
540,check,734
541,direction,734
542,say,732
543,proportion,729
544,walk,728
545,action,727
546,..,723
547,badminton,723
548,magnetic,722
549,tv,722
550,partner,721
551,turn,720
552,condition,719
553,carbon,717
554,coefficient,714
555,beginner,713
556,total,710
557,produce,709
558,fractions,709
559,related,706
560,continue,706
561,types,705
562,strategy,704
563,role,704
564,estimate,704
565,production,700
566,professional,698
567,gk,696
568,transcript,695
569,bike,693
570,systems,690
571,direct,690
572,technology,690
573,interval,687
574,kind,685
575,evolution,682
576,multiplying,682
577,experiment,681
578,reverse,681
579,break,680
580,final,680
581,weight,679
582,rules,676
583,differential,675
584,component,675
585,simplify,675
586,solid,674
587,participate,672
588,block,671
589,vocabulary,670
590,minute,667
591,intro,664
592,inverse,657
593,open,656
594,subject,656
595,friend,656
596,fundamental,654
597,basis,654
598,fact,653
599,materials,649
600,reflection,649
601,try,647
602,comparing,647
603,best,646
604,khan,643
605,variation,643
606,importance,642
607,leave,642
608,examples,640
609,tip,638
610,avoid,638
611,demonstrate,637
612,mb,636
613,football,635
614,temperature,634
615,discussion,633
616,bond,631
617,easy,631
618,document,631
619,r,631
620,appropriate,630
621,m2,630
622,visit,629
623,quantity,628
624,always,627
625,range,626
626,cost,626
627,core,625
628,following,625
629,relative,622
630,bar,621
631,lead,620
632,half,619
633,calculus,618
634,m5,618
635,view,615
636,primary,614
637,fun,612
638,conversion,612
639,like,611
640,opposite,611
641,metric,611
642,principle,610
643,academy,607
644,demand,606
645,warm,606
646,quotient,605
647,rewrite,601
648,normal,601
649,dimensional,601
650,air,600
651,classification,598
652,again,598
653,leg,597
654,big,596
655,individual,594
656,binomial,592
657,assessments,592
658,heart,592
659,train,592
660,character,592
661,care,591
662,videos,591
663,intend,590
664,circuit,589
665,perpendicular,587
666,resolution,587
667,little,585
668,classroom,585
669,cut,585
670,certain,583
671,physics,583
672,combination,583
673,ap,582
674,acceleration,582
675,seek,581
676,chain,580
677,demonstration,577
678,prove,576
679,cube,576
680,front,575
681,%,574
682,behavior,573
683,precalculus,573
684,obtain,572
685,informational,572
686,angular,571
687,america,570
688,perfect,570
689,sikana,569
690,reduce,568
691,living,568
692,charge,568
693,drawing,565
694,list,563
695,explanation,563
696,construction,563
697,impact,563
698,aie,562
699,multi,562
700,american,561
701,connect,561
702,rotation,561
703,symmetry,559
704,building,558
705,quadrilateral,554
706,website,552
707,future,552
708,article,551
709,wall,551
710,person,551
711,listen,549
712,student.pdf,548
713,independent,548
714,page,547
715,war,544
716,grow,542
717,supply,541
718,low,536
719,axis,535
720,feature,535
721,code,535
722,protein,532
723,gene,532
724,composite,532
725,necessary,532
726,counting,530
727,computer,530
728,card,530
729,visual,529
730,angles,528
731,questions,527
732,zero,527
733,p,527
734,practical,527
735,<,526
736,absorption,525
737,cosine,525
738,far,524
739,irrational,524
740,polygon,523
741,teaching,522
742,carry,522
743,composition,522
744,integration,520
745,speakers,520
746,swim,520
747,few,519
748,arm,519
749,head,517
750,age,517
751,act,516
752,medium,516
753,conservation,516
754,pdf,514
755,translate,514
756,address,514
757,'ve,513
758,box,512
759,kitchen,511
760,h,510
761,periodic,510
762,third,508
763,graphs,507
764,is,507
765,vertical,507
766,preparation,507
767,proof,506
768,basketball,505
769,miss,505
770,vide,504
771,fiction,504
772,similarity,503
773,dimension,503
774,pass,498
775,communication,496
776,effective,496
777,economic,496
778,applications,495
779,velocity,494
780,join,492
781,wood,491
782,performance,491
783,informative,491
784,capacity,490
785,states,489
786,financial,488
787,substitute,488
788,something,487
789,hour,487
790,newton,486
791,tree,486
792,us,486
793,connection,485
794,proportional,485
795,verb,484
796,accord,483
797,stage,483
798,n,483
799,description,482
800,dividing,481
801,others,481
802,steven,481
803,stretch,480
804,operations,480
805,century,479
806,oxygen,479
807,oil,479
808,spanish,479
809,mid,478
810,dan,478
811,loud,478
812,previous,475
813,zucker,475
814,vision,474
815,culture,474
816,color,474
817,theme,474
818,thinking,474
819,strong,472
820,beth,472
821,really,471
822,decimals,471
823,issue,469
824,personal,467
825,expressions,467
826,india,467
827,worksheet,466
828,round,466
829,'m,465
830,country,464
831,next,464
832,thanks,463
833,fractional,462
834,height,462
835,atomic,461
836,aim,461
837,piece,460
838,harris,460
839,algorithm,460
840,meet,458
841,trigonometry,456
842,often,456
843,note,456
844,physic,455
845,●,454
846,electrical,454
847,salt,454
848,hi,453
849,task,453
850,offer,453
851,one,452
852,hit,452
853,service,451
854,early,450
855,sometimes,449
856,mother,448
857,board,448
858,close,447
859,ti,447
860,transcription,447
861,search,447
862,cm,447
863,correct,447
864,last,446
865,plot,445
866,making,445
867,infinite,445
868,passenger,444
869,circumference,442
870,converting,442
871,triangles,442
872,return,441
873,momentum,441
874,date,441
875,today,441
876,network,440
877,logarithm,440
878,relation,439
879,available,439
880,percent,439
881,v,439
882,digital,439
883,style,439
884,transport,437
885,polar,437
886,access,436
887,self,435
888,@,435
889,worked,435
890,hundred,435
891,positional,434
892,radius,434
893,origin,434
894,symptom,433
895,file,432
896,output,431
897,essay,430
898,establish,430
899,pythagorean,430
900,protect,429
901,concrete,429
902,city,429
903,formal,428
904,attack,428
905,molecular,428
906,love,428
907,path,426
908,bacteria,425
909,singles,425
910,equilibrium,425
911,college,423
912,pythagoras,423
913,track,422
914,narrative,422
915,deal,422
916,red,421
917,variety,420
918,opportunity,420
919,goal,420
920,median,419
921,deviation,419
922,nordic,419
923,category,418
924,house,416
925,dozen,416
926,danosongs.com,415
927,co,415
928,paint,414
929,genetic,414
930,ax,413
931,formation,413
932,factoring,413
933,least,413
934,management,412
935,partial,411
936,subtracting,411
937,account,411
938,select,410
939,player,410
940,national,410
941,environmental,410
942,i,409
943,planning,408
944,star,408
945,occur,408
946,united,407
947,ion,406
948,equipment,406
949,electricity,406
950,mechanism,405
951,identifying,405
952,and/or,404
953,prism,404
954,derive,403
955,travel,403
956,depend,403
957,–,403
958,metal,402
959,transfer,402
960,initial,401
961,density,401
962,m,401
963,arc,400
964,true,400
965,combine,399
966,rectangular,399
967,programming,399
968,input,398
969,exchange,396
970,m6,396
971,entire,395
972,road,395
973,mcat,395
974,maintain,394
975,minimum,394
976,g12,394
977,modern,394
978,lot,394
979,collection,394
980,transform,393
981,determining,393
982,presentation,393
983,paragraph,392
984,radical,392
985,split,392
986,organize,392
987,top,392
988,curriculum,392
989,correctly,392
990,session,392
991,government,391
992,museum,390
993,jump,390
994,eye,390
995,continuous,390
996,statement,389
997,error,388
998,interpretation,387
999,poem,387
1000,speech,386
1001,organic,386
1002,david,386
1003,stick,385
1004,symbol,385
1005,identification,385
1006,congruence,384
1007,download,382
1008,particular,382
1009,essential,381
1010,cartesian,381
1011,written,380
1012,reflect,380
1013,volunteer,380
1014,campaign,379
1015,prep/mcat,378
1016,picture,378
1017,healthy,377
1018,middle,377
1019,sun,377
1020,intercept,377
1021,reproduction,377
1022,proportionality,377
1023,incompetech.com,375
1024,plants,375
1025,classify,374
1026,already,374
1027,tenth,374
1028,match,373
1029,substitution,373
1030,off,372
1031,magnitude,372
1032,qualified,371
1033,generate,371
1034,argument,371
1035,score,371
1036,z,370
1037,regular,370
1038,fall,369
1039,sciences,369
1040,nomenclature,367
1041,modeling,367
1042,swimming,366
1043,principles,366
1044,wooden,366
1045,rest,365
1046,expand,365
1047,mark,365
1048,particle,364
1049,finally,364
1050,hydrogen,363
1051,selection,361
1052,capital,360
1053,post,360
1054,mirror,360
1055,decompose,359
1056,local,359
1057,universe,358
1058,voltage,357
1059,team,357
1060,sure,357
1061,c.,356
1062,participation,356
1063,economy,356
1064,horizontal,355
1065,web,355
1066,supplementary,355
1067,strand,354
1068,//www.khanacademy.org/test,354
1069,pas,354
1070,sub,354
1071,creation,353
1072,organism,353
1073,fluid,352
1074,g2,352
1075,relevant,352
1076,car,352
1077,gravity,352
1078,how,351
1079,benefit,351
1080,voice,351
1081,dependent,351
1082,company,350
1083,instruction,349
1084,strength,349
1085,region,349
1086,android,348
1087,maximum,346
1088,//www.khanacademy.org/science/healthcare,346
1089,expansion,344
1090,sense,343
1091,dog,343
1092,patterns,343
1093,limits,342
1094,climate,342
1095,scholar,342
1096,trade,342
1097,yoga,340
1098,k,340
1099,eat,340
1100,congruent,339
1101,walking,339
1102,separate,338
1103,e.g,338
1104,foundation,338
1105,planet,338
1106,sin,338
1107,actually,338
1108,lines,337
1109,examine,337
1110,familiar,336
1111,reference,336
1112,words,336
1113,g4,335
1114,society,335
1115,save,335
1116,contact,335
1117,configuration,335
1118,hike,334
1119,copy,334
1120,daily,334
1121,advantage,333
1122,reactions,333
1123,phrase,333
1124,hold,332
1125,python,332
1126,collect,332
1127,please,331
1128,drive,331
1129,bit,330
1130,//www.sikana,330
1131,resolve,329
1132,signal,329
1133,ever,329
1134,profit,329
1135,organization,328
1136,passage,328
1137,biodiversity,328
1138,circular,328
1139,decision,327
1140,journey,327
1141,photosynthesis,327
1142,quality,326
1143,e.g.,326
1144,raise,326
1145,land,325
1146,gain,325
1147,welcome,324
1148,engineering,323
1149,remove,323
1150,extend,323
1151,sine,322
1152,cold,322
1153,advance,321
1154,perspective,321
1155,concentration,321
1156,replace,321
1157,past,320
1158,ability,320
1159,too,320
1160,associate,320
1161,prevent,320
1162,missing,320
1163,exist,320
1164,cancer,319
1165,logarithmic,319
1166,wheel,319
1167,risk,319
1168,throw,318
1169,once,316
1170,column,316
1171,ice,316
1172,orally,316
1173,repeat,316
1174,member,315
1175,job,315
1176,public,315
1177,choice,315
1178,ideal,315
1179,interview,315
1180,soil,315
1181,author,315
1182,quickly,314
1183,oxidation,314
1184,distinguish,314
1185,green,314
1186,scalar,314
1187,decrease,313
1188,conversation,313
1189,song,313
1190,solar,313
1191,reduction,312
1192,explains,312
1193,ray,312
1194,being,311
1195,complementary,311
1196,liquid,310
1197,location,310
1198,remember,309
1199,couple,309
1200,master,309
1201,observe,309
1202,gpk,308
1203,tax,308
1204,canvas,308
1205,representative,308
1206,statistical,308
1207,opinion,307
1208,resistance,307
1209,intersection,307
1210,ph,307
1211,iii,306
1212,corner,306
1213,graphing,306
1214,criterion,305
1215,everything,305
1216,kinetic,304
1217,ancient,304
1218,cellular,304
1219,calculating,303
1220,construct,301
1221,ionic,301
1222,global,301
1223,ebc,301
1224,substance,301
1225,g3,300
1226,phase,300
1227,technical,299
1228,displacement,299
1229,regulation,298
1230,compass,298
1231,receive,298
1232,syllable,298
1233,ready,298
1234,manage,297
1235,info,297
1236,pallet,296
1237,university,296
1238,vertex,296
1239,man,295
1240,arabic,295
1241,calculator,294
1242,moment,294
1243,major,294
1244,fast,294
1245,secondary,294
1246,react,294
1247,bring,294
1248,statistics,293
1249,shot,293
1250,hear,292
1251,software,292
1252,reasoning,292
1253,interaction,292
1254,parallelogram,292
1255,pathology,292
1256,eureka,292
1257,deep,291
1258,competition,291
1259,display,291
1260,option,291
1261,online,290
1262,g1,290
1263,landing,289
1264,basics,289
1265,speak,289
1266,spread,289
1267,working,289
1268,loss,288
1269,adult,288
1270,heating,287
1271,lens,287
1272,skills,286
1273,active,286
1274,reach,286
1275,regroup,286
1276,pre,285
1277,anmol,285
1278,joint,284
1279,math/engageny,284
1280,lessons,284
1281,texts,283
1282,room,283
1283,graphical,283
1284,friction,283
1285,solutions,283
1286,thousand,282
1287,revolution,282
1288,mountain,282
1289,exam,282
1290,bank,282
1291,aloud,282
1292,measuring,281
1293,decomposition,281
1294,suite,281
1295,policy,281
1296,near,280
1297,difficult,280
1298,young,280
1299,factors,279
1300,specie,279
1301,—,279
1302,inequalities,279
1303,easily,279
1304,hello,279
1305,breathing,279
1306,spring,279
1307,biological,278
1308,distributive,278
1309,memory,278
1310,overview.pdf,278
1311,cone,277
1312,extract,277
1313,statistic,277
1314,fruit,276
1315,marginal,276
1316,procedure,276
1317,models,276
1318,diversity,275
1319,user,275
1320,serve,275
1321,polynomials,275
1322,figures,275
1323,graphically,275
1324,influence,274
1325,checklist,274
1326,father,274
1327,association,274
1328,bottom,273
1329,subscription,273
1330,creative,272
1331,everyday,272
1332,g5,272
1333,fold,272
1334,consumption,272
1335,flip,271
1336,standards,271
1337,south,271
1338,expert,271
1339,teachers,270
1340,thermal,270
1341,pay,270
1342,disorder,270
1343,re,270
1344,background,269
1345,centre,269
1346,compose,269
1347,pose,269
1348,string,269
1349,plate,269
1350,nervous,269
1351,net,268
1352,clean,268
1353,variance,268
1354,income,268
1355,row,268
1356,fit,267
1357,genetics,267
1358,respect,267
1359,install,266
1360,voluntary,265
1361,exactly,265
1362,replacement,265
1363,cylinder,265
1364,due,265
1365,characteristics,264
1366,machine,264
1367,cells,263
1368,respiration,263
1369,children,263
1370,alcohol,262
1371,java,262
1372,translator,262
1373,pollution,262
1374,synthesis,262
1375,certificate,262
1376,origami,261
1377,injury,261
1378,stop,261
1379,conclusion,261
1380,elimination,260
1381,oral,260
1382,inflation,260
1383,are,260
1384,membrane,260
1385,white,260
1386,buy,259
1387,reserve,259
1388,literal,258
1389,programme,257
1390,multiplier,256
1391,leadership,256
1392,appendix,255
1393,variables,255
1394,wire,255
1395,determinant,255
1396,microbo,254
1397,claim,254
1398,diameter,254
1399,shift,254
1400,gmail.com,253
1401,noun,253
1402,independence,252
1403,//www.facebook.com/sikana.how,252
1404,published,252
1405,thermodynamics,252
1406,lucrative,252
1407,g8,252
1408,lis,252
1409,stretching,252
1410,//www.weibo.com/sikana,252
1411,phenomenon,251
1412,shoulder,251
1413,consist,250
1414,respiratory,250
1415,intuition,250
1416,virus,250
1417,subscribe,250
1418,left,249
1419,discovery,249
1420,succession,249
1421,lic,249
1422,shoe,249
1423,sheet,249
1424,ride,249
1425,microcredit,249
1426,edelberto,248
1427,workshop.sikana.how,248
1428,grid,248
1429,edelberto.andino.ea,248
1430,ground,248
1431,andino,248
1432,prime,248
1433,skana09,248
1434,conduct,247
1435,experimental,247
1436,conditional,247
1437,alternative,247
1438,glass,247
1439,quick,246
1440,enter,246
1441,remain,246
1442,bird,246
1443,kindergarten,246
1444,feel,246
1445,motor,246
1446,original,246
1447,achieve,246
1448,hundredth,245
1449,record,245
1450,fund,245
1451,literature,244
1452,suitable,243
1453,respond,243
1454,internet,243
1455,drill,243
1456,confidence,243
1457,unitary,243
1458,electromagnetic,242
1459,political,242
1460,hiking,242
1461,laws,242
1462,traditional,241
1463,sql,241
1464,differentiation,241
1465,framework,241
1466,regression,241
1467,internal,240
1468,flat,240
1469,fuel,239
1470,interpreting,239
1471,stand,239
1472,baby,239
1473,predict,239
1474,developer,239
1475,spelling,238
1476,rishi,238
1477,progression,238
1478,march,238
1479,scientist,238
1480,foundational,238
1481,goodbye,238
1482,founder,237
1483,hard,237
1484,empire,237
1485,derivation,237
1486,moon,236
1487,u,236
1488,knee,236
1489,sugar,235
1490,g6,235
1491,vectors,235
1492,enough,235
1493,woman,235
1494,facebook,235
1495,notion,234
1496,proton,234
1497,especially,234
1498,divisibility,234
1499,doctor,234
1500,ios,234
1501,breast,233
1502,usually,233
1503,interesting,232
1504,rubric,232
1505,definite,232
1506,animals,232
1507,effectively,232
1508,mechanical,232
1509,however,231
1510,union,231
1511,format,231
1512,treat,231
1513,everyone,231
1514,clear,230
1515,awareness,230
1516,simulation,230
1517,beginning,230
1518,electronic,229
1519,africa,229
1520,methods,229
1521,dot,229
1522,critical,229
1523,unique,229
1524,honduras,228
1525,entrepreneurship,228
1526,mode,228
1527,continuity,228
1528,ecology,227
1529,between,227
1530,projectile,227
1531,solved,227
1532,door,227
1533,office,226
1534,still,226
1535,bye,226
1536,powers,226
1537,bag,226
1538,challenging,226
1539,entry,226
1540,finance,225
1541,stay,225
1542,introductory,225
1543,prekindergarten,225
1544,china,225
1545,copyright,225
1546,report,225
1547,there,225
1548,acute,225
1549,seed,224
1550,lose,224
1551,enjoy,224
1552,nuclear,224
1553,leaf,223
1554,index,223
1555,guidance,222
1556,garden,222
1557,invite,222
1558,by,222
1559,le,222
1560,routine,221
1561,trend,221
1562,estimation,221
1563,adapt,221
1564,comprehension,221
1565,trace,221
1566,message,220
1567,skate,220
1568,changes,220
1569,store,220
1570,load,219
1571,elements,219
1572,loop,219
1573,breathe,219
1574,derived,219
1575,analyzing,219
1576,approximate,218
1577,©,218
1578,smarthistory,218
1579,aspect,218
1580,security,218
1581,black,218
1582,feeling,217
1583,drug,217
1584,golf,217
1585,artist,217
1586,favorite,217
1587,properly,216
1588,laplace,216
1589,values,216
1590,l,216
1591,ka,216
1592,dynamic,216
1593,fish,216
1594,weather,216
1595,strengthen,215
1596,parent,215
1597,ecosystem,214
1598,dance,214
1599,elasticity,214
1600,transition,214
1601,route,214
1602,coin,213
1603,tape,213
1604,target,213
1605,peer,213
1606,repair,213
1607,iv,213
1608,release,212
1609,fuseschool,212
1610,international,212
1611,equality,212
1612,week,212
1613,sort,212
1614,inch,211
1615,waves,211
1616,flower,211
1617,foundations,211
1618,sums,211
1619,pool,211
1620,brief,211
1621,furniture,211
1622,creating,211
1623,tables,211
1624,novel,210
1625,mind,210
1626,film,210
1627,m7,210
1628,correspond,210
1629,safe,210
1630,party,209
1631,x2,209
1632,sinusoidal,209
1633,decay,209
1634,switch,209
1635,branch,209
1636,chair,209
1637,rigid,208
1638,else,208
1639,topics,208
1640,away,208
1641,visually,207
1642,success,207
1643,infectious,207
1644,my,206
1645,sail,206
1646,components,206
1647,mental,206
1648,forms,206
1649,director,206
1650,king,205
1651,c++,205
1652,someone,204
1653,mixture,204
1654,literary,204
1655,encourage,203
1656,gesture,203
1657,waste,203
1658,pediatric,203
1659,fourth,203
1660,determination,202
1661,safety,202
1662,accompany,202
1663,du,202
1664,php,202
1665,differentiate,202
1666,rise,202
1667,acquire,201
1668,unity,201
1669,investigate,201
1670,divider,201
1671,stability,200
1672,and,200
1673,layer,200
1674,pronoun,200
1675,beautiful,199
1676,folder,199
1677,device,199
1678,animation,199
1679,bear,198
1680,brought,198
1681,derivatives,198
1682,independently,198
1683,brain,198
1684,inscribed,198
1685,//www.prathamopenschool.org/coursecontent/videos/hn,198
1686,irregular,198
1687,based,198
1688,no,198
1689,collaboration,198
1690,gradient,198
1691,currency,198
1692,locate,197
1693,promote,197
1694,finite,197
1695,basket,197
1696,indefinite,197
1697,discrete,197
1698,realize,197
1699,approximation,197
1700,parts,197
1701,reader,197
1702,propose,196
1703,rain,196
1704,exponents,196
1705,tension,196
1706,roots,196
1707,resistor,196
1708,bad,196
1709,girl,196
1710,all,196
1711,assessment.pdf,196
1712,log,195
1713,points,195
1714,mistake,195
1715,remainder,195
1716,clarification,195
1717,oa,195
1718,recipe,194
1719,processing,194
1720,late,194
1721,accounting,194
1722,inequity,194
1723,kidney,194
1724,site,194
1725,reciprocal,193
1726,sale,193
1727,hypothesis,193
1728,knowing,193
1729,french,193
1730,lab,193
1731,clock,192
1732,difficulty,192
1733,consonant,192
1734,aggregate,192
1735,reproductive,192
1736,optional,192
1737,john,192
1738,quadrant,192
1739,javascript,192
1740,quantitative,192
1741,chromosome,191
1742,directly,191
1743,egg,191
1744,cycling,191
1745,prerequisite,191
1746,shapes,191
1747,imagine,191
1748,appear,191
1749,rock,191
1750,decathlon,190
1751,manual,190
1752,rna,190
1753,anthology,190
1754,roll,190
1755,harmonic,190
1756,never,190
1757,economics,190
1758,enzyme,189
1759,lung,189
1760,adopt,189
1761,career,189
1762,radiation,189
1763,sit,189
1764,trail,189
1765,stem,189
1766,tissue,189
1767,painting,188
1768,sphere,188
1769,infection,188
1770,attribute,188
1771,clarify,188
1772,closely,187
1773,frame,187
1774,taylor,187
1775,warming,187
1776,parable,187
1777,sea,187
1778,skateboard,187
1779,circuits,186
1780,float,186
1781,deepen,186
1782,sampling,186
1783,adjust,186
1784,communicate,186
1785,radian,186
1786,cubic,186
